Categoria;Data;Valor
Acomodação;12/04/2021;247.20
Taxas_Bancarias;01/02/2021;34.62
Equipamentos;08/07/2021;367.89
Entertaining;28/01/2021;79.76
Refeições;07/02/2021;263.57
Diversos;08/11/2021;234.75
Combustível;01/12/2021;150.26
Taxas_Bancarias;01/09/2021;37.00
Entertaining;09/01/2021;10.78
Combustível;08/11/2021;101.33
Refeições;10/05/2021;64.96
Manutenção_Veículos;24/01/2021;120.72
Combustível;23/10/2021;91.31
Taxas_Bancarias;03/10/2021;103.01
Diversos;07/10/2021;29.16
Propaganda;11/01/2021;1.02
Equipamentos;26/12/2021;62.04
Entertaining;09/12/2021;526.99
Acomodação;11/11/2021;366.45
Refeições;11/03/2021;461.91
Combustível;17/06/2021;345.63
Pesquisa;20/12/2021;363.57
Correio;14/01/2021;67.41
Viagem;08/03/2021;269.31
Entertaining;27/05/2021;150.15
Refeições;12/02/2021;376.77
Combustível;08/01/2021;383.91
Propaganda;22/01/2021;508.74
Acomodação;11/04/2021;387.47
Entertaining;09/09/2021;15.44
Refeições;19/04/2021;350.50
Entertaining;15/03/2021;316.38
Acomodação;17/11/2021;84.43
Viagem;07/01/2021;474.77
Diversos;31/03/2021;104.99
Refeições;12/01/2021;122.91
Acomodação;27/03/2021;40.15
Entertaining;12/12/2021;453.24
Telefone;27/01/2021;155.98
Transporte;11/08/2021;82.47
Diversos;02/10/2021;196.63
Combustível;22/09/2021;456.23
Manutenção_Veículos;10/01/2021;107.16
Refeições;24/04/2021;150.76
Propaganda;24/12/2021;152.49
Refeições;28/10/2021;27.09
Transporte;23/05/2021;125.19
Refeições;13/03/2021;71.78
Viagem;19/01/2021;8.13
Pesquisa;10/01/2021;96.71
Diversos;15/09/2021;20.49
Propaganda;23/08/2021;75.71
Diversos;23/10/2021;7.53
Viagem;04/11/2021;371.04
Acomodação;10/10/2021;205.74
Refeições;05/03/2021;243.07
Manutenção_Veículos;15/11/2021;148.85
Entertaining;13/10/2021;456.98
Diversos;29/09/2021;92.33
Correio;01/09/2021;346.37
Telefone;13/10/2021;188.00
Combustível;14/09/2021;548.54
Viagem;25/08/2021;325.34
Refeições;06/06/2021;445.21
Manutenção_Veículos;17/07/2021;59.17
Entertaining;16/08/2021;340.05
Refeições;02/08/2021;421.63
Equipamentos;24/03/2021;136.86
Propaganda;13/09/2021;147.90
Entertaining;26/07/2021;4.32
Pesquisa;31/01/2021;45.00
Telefone;16/05/2021;52.11
Diversos;24/12/2021;31.13
Equipamentos;16/07/2021;51.21
Viagem;10/05/2021;119.81
Manutenção_Veículos;11/12/2021;26.91
Combustível;04/06/2021;6.27
Pesquisa;26/06/2021;149.99
Acomodação;26/02/2021;59.54
Viagem;16/06/2021;13.57
Propaganda;31/12/2021;97.25
Taxas_Bancarias;20/06/2021;91.65
Correio;13/06/2021;65.61
Telefone;07/04/2021;71.21
Diversos;30/04/2021;82.51
Entertaining;29/12/2021;47.76
Pesquisa;05/08/2021;98.70
Refeições;30/05/2021;112.40
Acomodação;12/10/2021;101.18
Transporte;15/08/2021;49.19
Equipamentos;09/06/2021;56.66
Propaganda;07/03/2021;31.36
Combustível;08/04/2021;111.80
Acomodação;13/11/2021;3.32
Transporte;16/04/2021;44.17
Correio;03/03/2021;101.84
Entertaining;19/01/2021;124.39
Telefone;18/10/2021;154.82
Estacionamento;27/09/2021;7.51
Correio;07/01/2021;87.60
Entertaining;05/10/2021;82.47
Taxas_Bancarias;02/06/2021;123.35
Diversos;21/10/2021;56.41
Pesquisa;09/02/2021;90.40
Correio;27/10/2021;63.65
Transporte;17/12/2021;387.64
Estacionamento;05/04/2021;399.08
Seguro_Veículos;04/08/2021;424.27
Entertaining;30/03/2021;487.89
Viagem;25/12/2021;548.07
Propaganda;19/08/2021;554.27
Correio;12/03/2021;289.22
Manutenção_Veículos;18/01/2021;526.76
Diversos;01/07/2021;513.50
Viagem;21/10/2021;42.34
Pesquisa;28/07/2021;515.27
Correio;27/03/2021;88.88
Transporte;05/12/2021;44.59
Seguro_Veículos;26/09/2021;80.19
Refeições;07/03/2021;63.39
Transporte;16/10/2021;81.38
Correio;07/07/2021;104.95
Propaganda;24/03/2021;42.99
Equipamentos;06/11/2021;64.21
Estacionamento;12/08/2021;63,94
Refeições;14/09/2021;15.06
Combustível;20/07/2021;1.67
Propaganda;10/08/2021;142.63
Diversos;04/04/2021;143.91
Pesquisa;16/01/2021;141.02
Entertaining;13/09/2021;91.61
Viagem;27/12/2021;192.83
Diversos;08/09/2021;254.31
Entertaining;29/05/2021;353.13
Viagem;12/07/2021;555.44
Manutenção_Veículos;19/08/2021;288.40
Diversos;16/03/2021;262.80
Refeições;15/08/2021;285.60
Correio;06/02/2021;209.82
Equipamentos;14/04/2021;536.90
Estacionamento;28/04/2021;329.61
Diversos;21/01/2021;36.87
Categoria;04/09/2021;462.12
Manutenção_Veículos;24/05/2021;50.35
Refeições;08/02/2021;68.85
Correio;14/10/2021;157.27
Refeições;08/04/2021;480.16
Propaganda;03/01/2021;108.33
Equipamentos;18/03/2021;68.23
Seguro_Veículos;02/01/2021;29.37
Pesquisa;14/05/2021;93.57
Entertaining;01/05/2021;43.84
Diversos;21/08/2021;52.75
Estacionamento;08/09/2021;104,92
Acomodação;23/04/2021;29.64
Transporte;13/11/2021;24.31
Entertaining;15/09/2021;99.57
Propaganda;18/07/2021;74.97
Acomodação;20/04/2021;25.09
Equipamentos;10/02/2021;85.65
Viagem;05/06/2021;121,31
Combustível;08/03/2021;48.40
Viagem;22/05/2021;54.30
Categoria;28/10/2021;102.90
Manutenção_Veículos;24/03/2021;70.96
Pesquisa;02/06/2021;147.36
Acomodação;23/01/2021;78.18
Seguro_Veículos;30/07/2021;105.34
